Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Polynomial	100.000000	10.000000	83.37	12.78	61.52	7.05
Polynomial	100.000000	100.000000	87.61	9.26	64.24	8.66
Polynomial	100.000000	1000.000000	72.96	4.18	67.58	8.47
Polynomial	1000.000000	0.001000	85.32	12.17	63.03	9.37
Polynomial	1000.000000	0.010000	85.59	11.27	60.91	5.15
Polynomial	1000.000000	0.100000	91.08	4.64	63.94	6.70
Polynomial	1000.000000	1.000000	88.08	7.72	63.94	8.51
Polynomial	1000.000000	10.000000	83.37	12.78	61.52	7.05
Polynomial	1000.000000	100.000000	87.61	9.26	64.24	8.66
Polynomial	1000.000000	1000.000000	72.96	4.18	67.58	8.47
Radial Basis Function	0.001000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.001000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	0.100000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	10.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	100.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.010000	1000.000000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.001000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.010000	50.71	0.46	48.48	5.07
Radial Basis Function	0.100000	0.100000	50.71	0.46	48.48	5.07
