Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	85.56	1.73	81.52	7.84
Linear	0.001000	0.010000	85.56	1.73	81.52	7.84
Linear	0.001000	0.100000	85.56	1.73	81.52	7.84
Linear	0.001000	1.000000	85.56	1.73	81.52	7.84
Linear	0.001000	10.000000	85.56	1.73	81.52	7.84
Linear	0.001000	100.000000	85.56	1.73	81.52	7.84
Linear	0.001000	1000.000000	85.56	1.73	81.52	7.84
Linear	0.010000	0.001000	80.07	9.31	79.09	10.96
Linear	0.010000	0.010000	80.07	9.31	79.09	10.96
Linear	0.010000	0.100000	80.07	9.31	79.09	10.96
Linear	0.010000	1.000000	80.07	9.31	79.09	10.96
Linear	0.010000	10.000000	80.07	9.31	79.09	10.96
Linear	0.010000	100.000000	80.07	9.31	79.09	10.96
Linear	0.010000	1000.000000	80.07	9.31	79.09	10.96
Linear	0.100000	0.001000	76.09	4.90	75.15	7.64
Linear	0.100000	0.010000	76.09	4.90	75.15	7.64
Linear	0.100000	0.100000	76.09	4.90	75.15	7.64
Linear	0.100000	1.000000	76.09	4.90	75.15	7.64
Linear	0.100000	10.000000	76.09	4.90	75.15	7.64
Linear	0.100000	100.000000	76.09	4.90	75.15	7.64
Linear	0.100000	1000.000000	76.09	4.90	75.15	7.64
Linear	1.000000	0.001000	71.35	8.44	71.82	11.42
Linear	1.000000	0.010000	71.35	8.44	71.82	11.42
Linear	1.000000	0.100000	71.35	8.44	71.82	11.42
Linear	1.000000	1.000000	71.35	8.44	71.82	11.42
Linear	1.000000	10.000000	71.35	8.44	71.82	11.42
Linear	1.000000	100.000000	71.35	8.44	71.82	11.42
Linear	1.000000	1000.000000	71.35	8.44	71.82	11.42
Linear	10.000000	0.001000	68.96	11.21	72.12	16.70
Linear	10.000000	0.010000	68.96	11.21	72.12	16.70
Linear	10.000000	0.100000	68.96	11.21	72.12	16.70
Linear	10.000000	1.000000	68.96	11.21	72.12	16.70
Linear	10.000000	10.000000	68.96	11.21	72.12	16.70
Linear	10.000000	100.000000	68.96	11.21	72.12	16.70
Linear	10.000000	1000.000000	68.96	11.21	72.12	16.70
Linear	100.000000	0.001000	68.32	11.91	72.42	14.81
Linear	100.000000	0.010000	68.32	11.91	72.42	14.81
Linear	100.000000	0.100000	68.32	11.91	72.42	14.81
Linear	100.000000	1.000000	68.32	11.91	72.42	14.81
Linear	100.000000	10.000000	68.32	11.91	72.42	14.81
Linear	100.000000	100.000000	68.32	11.91	72.42	14.81
Linear	100.000000	1000.000000	68.32	11.91	72.42	14.81
Linear	1000.000000	0.001000	60.94	9.81	66.97	12.82
Linear	1000.000000	0.010000	60.94	9.81	66.97	12.82
Linear	1000.000000	0.100000	60.94	9.81	66.97	12.82
Linear	1000.000000	1.000000	60.94	9.81	66.97	12.82
Linear	1000.000000	10.000000	60.94	9.81	66.97	12.82
Linear	1000.000000	100.000000	60.94	9.81	66.97	12.82
Linear	1000.000000	1000.000000	60.94	9.81	66.97	12.82
Polynomial	0.001000	0.001000	59.33	11.45	54.85	12.16
Polynomial	0.001000	0.010000	58.92	9.20	57.58	10.32
Polynomial	0.001000	0.100000	62.42	13.59	57.58	13.89
Polynomial	0.001000	1.000000	62.86	9.19	60.61	11.58
Polynomial	0.001000	10.000000	60.47	9.96	58.48	8.68
Polynomial	0.001000	100.000000	59.36	7.68	58.48	11.18
Polynomial	0.001000	1000.000000	75.29	3.34	75.76	7.55
Polynomial	0.010000	0.001000	59.33	11.45	54.85	12.16
Polynomial	0.010000	0.010000	58.92	9.20	57.58	10.32
Polynomial	0.010000	0.100000	62.42	13.59	57.58	13.89
Polynomial	0.010000	1.000000	62.86	9.19	60.61	11.58
Polynomial	0.010000	10.000000	60.47	9.96	58.48	8.68
Polynomial	0.010000	100.000000	59.36	7.68	58.48	11.18
Polynomial	0.010000	1000.000000	75.29	3.34	75.76	7.55
